"PlaylistTrackId","PlaylistId","TrackId","Position","Score","Reason"
"79c0a3f4-a7a4-48d6-9954-2654376fdf01","1df92886-d632-40c8-8bb7-3895ca4db4d4","145","1","0,456824","Fits your recent listening profile."
"a177f9b2-c29b-4f31-9077-eaa9e50c479c","1df92886-d632-40c8-8bb7-3895ca4db4d4","134","2","0,443170","Fits your recent listening profile."
"c24e3a33-885a-4dbf-8bbf-3f182dcf9f08","1df92886-d632-40c8-8bb7-3895ca4db4d4","142","3","0,442478","Fits your recent listening profile."
"9c6cf6c2-669e-4bda-87b8-459e6c278eee","1df92886-d632-40c8-8bb7-3895ca4db4d4","153","4","0,442472","Fits your recent listening profile."
"c3226712-02b2-45e7-939b-865fc1d2baa8","1df92886-d632-40c8-8bb7-3895ca4db4d4","184","5","0,417370","Fits your recent listening profile."
"edc54c0b-337b-4f93-a521-0909e71c8a52","1df92886-d632-40c8-8bb7-3895ca4db4d4","190","6","0,403629","Fits your recent listening profile."
"8bd341a2-b57b-4317-bf2e-dd6cab006301","1df92886-d632-40c8-8bb7-3895ca4db4d4","185","7","0,397853","Fits your recent listening profile."
"1dbb6661-580b-4056-9c7a-c6d16bfae9fa","1df92886-d632-40c8-8bb7-3895ca4db4d4","62","8","0,390255","Fits your recent listening profile."
"18ae19a7-585a-420a-bdfc-301b3cec437e","1df92886-d632-40c8-8bb7-3895ca4db4d4","55","9","0,388451","Fits your recent listening profile."
"6a37d389-bb1e-4ae7-aad4-d4fa142a3653","1df92886-d632-40c8-8bb7-3895ca4db4d4","69","10","0,384161","Fits your recent listening profile."
"bf3f387e-4bc9-454c-87b4-509fd5498657","1df92886-d632-40c8-8bb7-3895ca4db4d4","35","11","0,382665","Fits your recent listening profile."
"28fc17ed-731f-4798-b841-2bf52fad7406","1df92886-d632-40c8-8bb7-3895ca4db4d4","37","12","0,380857","Fits your recent listening profile."
"ad83fd3c-2d92-41ae-a2da-a51540b600f3","1df92886-d632-40c8-8bb7-3895ca4db4d4","202","13","0,380583","Fits your recent listening profile."
